KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
;317;;;0;;0;723;;;0;;3;;;13;13;38;3;1;78;99;0;28.03.2022;3.04.2022;6
63;12;77;16;1;;360;0;;;0;SİLİKON;1;;345;502;502;44;2;3;126;99;0;24.03.2022;5.04.2022;12
;317;;;0;;0;256;;;;;1;;260;1;1;1;3;9;7;99;0;17.08.2021;3.09.2021;17
;317;;;0;;0;50;;;;;6;;;1;1;1;3;9;7;99;0;10.08.2021;2.09.2021;23
;317;;;0;;0;3159;;;;;0;;200;149;149;17;3;1;13;99;0;8.09.2021;12.09.2021;4
;317;;;0;;0;1072;;;;;3;;;12;12;38;3;1;78;99;1;23.08.2021;26.08.2021;3
;317;;;0;;0;398;;;0;;3;;355;13;13;38;3;1;78;99;0;23.08.2021;31.08.2021;8
;317;;;0;;0;27;;;0;;3;19;;203;203;;;;;99;0;25.03.2022;11.04.2022;17
;317;;;0;;0;800;;;0;;1;;;3;3;1;3;1;7;99;0;1.09.2021;13.09.2021;12
;317;;;0;;0;1680;;;0;;0;;;58;58;17;3;1;13;99;0;1.09.2021;9.09.2021;8
;28;;;0;;0;17;;;;;3;19;;137;137;;;;;99;0;25.09.2020;28.08.2021;337
;317;;;0;;0;7000;;;;;3;;265;11;0;38;3;1;78;99;0;7.07.2021;13.09.2021;68
;317;;;0;;0;23;;;;;3;19;;203;203;;;;;99;0;24.03.2022;30.03.2022;6
;317;;;0;;0;8142;;;0;;3;;;13;13;38;3;1;78;99;1;1.09.2021;8.09.2021;7
;317;;;0;;0;5819;;;0;;3;;;11;11;38;3;1;78;99;0;1.09.2021;8.09.2021;7
;182;;;0;;0;700;;;;;0;;;53;53;17;3;1;13;99;0;28.03.2022;8.04.2022;11
;317;;;0;;0;1;;;;;1;19;150;136;136;;;;;99;0;8.01.2021;8.09.2021;243
143;23;33;;0;;428;0;;;0;SİLİKON;1;;290;529;529;47;2;7;126;99;0;24.03.2022;7.04.2022;14
;317;;;0;;0;2211;;;0;;3;;390;15;15;38;3;1;78;99;1;23.08.2021;9.09.2021;17
;1.777;;;0;;0;20;;;0;;1;4;;41;41;;;;;99;0;1.09.2021;2.09.2021;1
;317;;;0;;0;3360;;;0;;3;;;11;11;38;3;1;78;99;1;23.08.2021;1.09.2021;9
;317;;;0;;0;8308;;;0;;1;1;;94;94;9;3;1;10;99;1;23.08.2021;18.09.2021;26
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;2.09.2021;36
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;2.09.2021;36
65;20;36;;0;;92;0;;;;SİLİKON;1;;350;504;504;47;2;7;126;99;0;24.03.2022;5.04.2022;12
;317;;;0;;0;69;;;0;;1;1;;94;94;9;3;1;10;99;0;2.11.2021;16.11.2021;14
;317;;;0;;0;30;;;;;3;19;;137;137;;;;;99;0;14.08.2021;8.11.2021;86
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;2.09.2021;36
63;22;36;;0;;12;0;;;;KENAR KESME KOLA, SİLİKON;1;;160;504;504;47;2;7;126;99;0;24.03.2022;5.04.2022;12
;317;;;0;;0;70;;;0;;3;;;15;15;38;3;1;78;99;0;23.08.2021;1.09.2021;9
;317;;;0;;0;69;;;;;1;1;;94;94;9;3;9;10;99;0;2.11.2021;16.11.2021;14
;317;;;0;;0;950;;;;;0;19;;54;54;17;3;1;13;99;1;28.03.2022;26.04.2022;29
;317;;;0;;0;4550;;;;;0;19;;54;54;17;3;1;13;99;1;28.03.2022;15.04.2022;18
;317;;;0;;0;65;;;;;1;;;2;2;1;3;1;7;99;0;23.08.2021;4.09.2021;12
143;23;33;;0;;428;0;;;;SİLİKON;1;;290;529;529;47;2;5;126;99;0;24.03.2022;6.04.2022;13
;317;;;0;;0;65;;;;;1;;;2;2;1;3;5;7;99;0;23.08.2021;4.10.2021;42
;317;;;0;;0;728;;;0;;3;;;13;13;38;3;1;78;99;0;23.08.2021;28.08.2021;5
;39;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;7.09.2021;10.09.2021;3
;317;;;0;;0;100;;;0;;1;;;31;31;2;3;4;8;99;0;23.08.2021;7.09.2021;15
65;20;36;;0;;92;0;;;;SİLİKON;1;;350;504;504;47;2;5;126;99;0;24.03.2022;6.04.2022;13
;317;;;0;;0;850;;;0;;3;;;151;151;38;3;1;78;99;0;23.08.2021;1.09.2021;9
;3.045;;6;1;;0;71;;;;;6;;;105;106;10;3;9;7;99;0;23.08.2021;26.08.2021;3
;39;;;0;;0;15;;;;;3;19;;203;203;;;;;99;0;7.09.2021;10.09.2021;3
;1.777;;;0;;0;15;;;;;3;19;;137;137;;;;;99;0;19.05.2021;7.09.2021;111
;1.777;;;0;;0;15;;;;;3;19;;137;137;;;;;99;0;19.05.2021;7.09.2021;111
;1.830;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;21.08.2021;26.08.2021;5
;317;;;0;;0;1243;;;0;;6;;115;3;3;1;3;9;7;99;1;16.09.2021;6.10.2021;20
;1.830;;;0;;0;15;;;;;3;19;;203;203;;;;;99;0;21.08.2021;26.08.2021;5
;317;;;0;;0;10;;;;;3;19;;203;203;;;;;99;0;23.08.2021;26.08.2021;3
;317;;;0;;0;10;;;;;3;19;;203;203;;;;;99;0;23.08.2021;26.08.2021;3
;317;;;0;;0;834;;;0;;1;1;350;40;40;;;;;99;0;1.09.2021;9.09.2021;8
;317;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;23.08.2021;27.08.2021;4
;317;;;0;;0;1200;;;0;;1;;260;32;32;14;3;6;41;99;1;1.09.2021;14.09.2021;13
;317;;;0;;0;144;;;0;;1;1;280;49;48;1;3;9;7;99;0;1.09.2021;19.09.2021;18
;317;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;23.08.2021;27.08.2021;4
;317;;;0;;0;250;;;0;;3;;;151;151;38;3;1;78;99;0;9.09.2021;16.09.2021;7
63;22;67;2;1;;1117;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;0;;190;502;502;17;2;1;126;99;0;1.09.2021;22.09.2021;21
63;22;67;2;1;;1784;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;9;126;99;0;1.09.2021;16.09.2021;15
;317;;;0;;0;1664;;;0;;3;;160;126;126;38;3;1;78;99;0;23.08.2021;28.08.2021;5
;317;;;0;;0;1873;;;0;;3;;185;126;126;38;3;1;78;99;0;23.08.2021;27.08.2021;4
;1.324;;;0;;0;4448;;;0;;1;;;68;67;;;;;99;0;25.08.2021;6.09.2021;12
63;22;67;2;1;;1442;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;9;126;99;0;1.09.2021;7.09.2021;6
;40;;;0;;0;3141;;;;;1;;;68;67;18;3;8;15;99;0;25.08.2021;9.09.2021;15
;317;;;0;;0;900;;;0;;3;19;;203;203;;;;;99;0;23.08.2021;26.08.2021;3
63;22;67;2;1;;1548;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;8;126;99;0;1.09.2021;14.09.2021;13
;317;;;0;;0;630;;;;;3;;;13;13;38;3;1;78;99;0;24.08.2021;27.08.2021;3
;317;;;0;;0;870;;;0;;1;19;330;136;136;;;;;99;1;24.08.2021;22.09.2021;29
63;22;36;;0;;13;0;;;;KENAR KESME KOLA, SİLİKON;1;;160;504;504;47;2;5;126;99;0;24.03.2022;6.04.2022;13
;317;;;0;;0;10;;;;;1;19;330;137;137;;;;;99;0;19.05.2021;31.08.2021;104
;317;;;0;;0;10;;;;;1;19;330;137;137;;;;;99;0;19.05.2021;31.08.2021;104
;317;;;0;;0;70;;;0;;1;;;139;139;1;3;1;7;99;0;24.08.2021;3.09.2021;10
;317;;;0;;0;70;;;;;1;;;139;139;1;3;5;7;99;0;24.08.2021;3.09.2021;10
;317;;;0;;0;70;;;;;1;;;139;139;1;3;3;7;99;0;24.08.2021;3.09.2021;10
;622;;;0;;0;40;;;;;1;;;68;67;;;;;99;0;25.08.2021;26.08.2021;1
;622;;;0;;0;150;;;;;3;;;68;67;;;;;99;0;25.08.2021;1.10.2021;37
;3.039;;;0;;0;5000;;;0;;1;;;3;3;1;3;9;7;99;1;24.08.2021;17.09.2021;24
;3.039;;;0;;0;1000;;;;;1;;;3;3;1;3;9;7;99;1;24.08.2021;8.09.2021;15
;3.039;;;0;;0;5000;;;;;0;;;58;58;17;3;1;13;99;1;24.08.2021;11.09.2021;18
;622;;;0;;0;400;;;;;1;;;68;67;;;;;99;0;25.08.2021;1.10.2021;37
;3.039;;;0;;0;1000;;;;;1;;;3;3;1;3;9;7;99;0;24.08.2021;6.09.2021;13
;622;;;0;;0;1353;;;;;1;;;68;67;;;;;99;0;25.08.2021;1.10.2021;37
;3.039;;;0;;0;500;;;;;1;;;3;3;1;3;4;7;99;1;24.08.2021;8.09.2021;15
;3.039;;;0;;0;1000;;;;;1;;;3;3;1;3;4;7;99;1;24.08.2021;10.09.2021;17
;317;;;0;;0;69;;;;;1;1;;94;94;9;3;1;10;99;0;2.11.2021;16.11.2021;14
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;2.09.2021;36
;317;;;0;;0;1599;;;0;;3;;;13;13;38;3;1;78;99;0;2.09.2021;8.09.2021;6
;22;64;;0;;18;0;;;0;;1;;150;500;500;44;2;3;126;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;1932;;;;;3;2;;55;153;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;1801;;;0;;1;;260;1;1;1;3;8;7;99;0;7.09.2021;17.09.2021;10
;3.039;;;0;;0;2000;;;0;;1;;;3;3;14;3;4;7;99;1;24.08.2021;8.09.2021;15
;317;;;0;;0;5;;;0;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;2080;;;0;;3;;267;15;15;38;3;1;78;99;0;4.11.2021;13.11.2021;9
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;1.09.2021;35
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;931;;;0;;0;5;;;;;3;19;;136;136;;;;;99;0;16.08.2021;2.09.2021;17
;317;;;0;;0;1109;;;;;1;;;277;277;1;3;4;7;99;0;2.11.2021;11.11.2021;9
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;1.09.2021;35
;2.567;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;28.08.2021;4
;317;;;0;;0;1133;;;0;;1;;245;20;20;9;3;8;10;99;0;24.08.2021;15.09.2021;22
;317;;;0;;0;1091;;;;;1;;350;20;20;8;3;8;10;99;0;24.08.2021;6.09.2021;13
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;1.09.2021;35
;1.874;;;0;;0;5;;;0;;3;19;;136;136;;;;;99;0;9.08.2021;2.09.2021;24
;317;;;0;;0;1340;;;;;1;;;1;1;1;3;5;7;99;1;24.08.2021;14.09.2021;21
;317;;;0;;0;5;;;;;3;19;;203;203;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;5;;;;;3;19;;136;136;;;;;99;0;16.07.2021;10.09.2021;56
;317;;;0;;0;15;;;;;3;1;;24;24;;;;;99;0;24.08.2021;26.08.2021;2
;317;;;0;;0;1485;;;;;1;;;1;1;1;3;1;7;99;0;24.08.2021;6.09.2021;13
;317;;;0;;0;1200;;;;;1;;;1;1;1;3;9;7;99;0;24.08.2021;7.09.2021;14
;317;;;0;;0;960;;;;;1;;;1;1;1;3;9;7;99;0;24.08.2021;6.09.2021;13
;317;;;0;;0;680;;;;;1;;;1;1;1;3;6;7;99;1;24.08.2021;12.09.2021;19
;317;;;0;;0;6500;;;;;1;;;1;1;1;3;1;7;99;0;24.08.2021;7.09.2021;14
;317;;;0;;0;1143;;;0;;1;;200;285;285;1;3;3;7;99;0;24.08.2021;1.09.2021;8
;317;;;0;;0;755;;;0;;6;17;;41;41;;;;;99;0;7.09.2021;15.09.2021;8
;317;;;0;;0;5686;;;0;;3;;245;13;13;38;3;1;78;99;0;6.09.2021;13.09.2021;7
;317;;;0;;0;1250;;;;;1;19;330;136;136;;;;;99;1;24.08.2021;21.09.2021;28
;317;;;0;;0;10;;;;;3;1;;24;24;;;;;99;0;9.04.2021;26.08.2021;139
;317;;;0;;0;10;;;;;3;1;;24;24;;;;;99;0;9.04.2021;26.08.2021;139
;1.777;;;0;;0;470;;;0;;3;19;;137;137;;;;;99;0;24.08.2021;27.09.2021;34
;317;;;0;;0;1018;;;0;;3;;250;13;13;38;3;1;78;99;0;6.09.2021;11.09.2021;5
;317;;;0;;0;350;;;;;3;1;;24;24;;;;;99;0;24.08.2021;3.09.2021;10
;1.777;;;0;;0;350;;;;;3;2;;183;183;;;;;99;0;24.08.2021;3.09.2021;10
;1.777;;;0;;0;360;;;;;0;1;;189;189;17;3;1;13;99;0;24.08.2021;27.09.2021;34
;317;;;0;;0;955;;;0;;1;;;278;3;1;3;5;7;99;0;24.08.2021;7.09.2021;14
;1.830;;;0;;0;20;;;0;;3;19;;203;203;;;;;99;0;21.08.2021;31.08.2021;10
63;22;168;;0;;702;0;;;0;ENZİM, SİLİKON, YAĞ SÖKÜMÜ;1;;145;500;500;44;2;6;126;99;0;24.03.2022;28.03.2022;4
;40;;;0;;0;1;;;;;1;19;280;210;210;;;;;99;0;31.08.2021;15.09.2021;15
;317;;;0;;0;10;;;;;1;19;330;137;137;;;;;99;0;19.05.2021;31.08.2021;104
;317;;;0;;0;14951;;;;;0;;200;149;149;17;3;1;13;99;0;7.09.2021;10.09.2021;3
;145;;;0;;0;194;;;;;1;;;4;4;1;3;3;7;99;0;2.09.2021;8.09.2021;6
;317;;;0;;0;3400;;;;;0;19;;54;54;17;3;1;13;99;0;29.03.2022;9.04.2022;11
;317;;;0;;0;360;;;;;3;1;;24;24;;;;;99;0;24.08.2021;11.09.2021;18
;317;;;0;;0;140;;;0;;3;;;15;15;38;3;1;78;99;0;25.08.2021;1.09.2021;7
;1.777;;;0;;0;9;;;0;;3;1;;24;24;;;;;99;0;1.09.2021;3.09.2021;2
;1.777;;;0;;0;9;;;;;3;1;;24;24;;;;;99;0;1.09.2021;3.09.2021;2
;317;;;0;;0;5270;;;0;;3;;;126;126;38;3;1;78;99;0;25.08.2021;6.09.2021;12
;1.777;;;0;;0;10;;;;;0;19;;203;203;17;3;1;13;99;0;1.09.2021;10.09.2021;9
;1.777;;;0;;0;360;;;;;3;19;;137;137;;;;;99;0;24.08.2021;27.09.2021;34
;1.777;;;0;;0;10;;;;;0;19;;203;203;17;3;1;13;99;0;1.09.2021;10.09.2021;9
;317;;;0;;0;27;;;0;;3;19;;203;203;;;;;99;0;1.09.2021;10.09.2021;9
;317;;;0;;0;28;;;;;3;19;;203;203;;;;;99;0;1.09.2021;10.09.2021;9
;317;;;0;;0;5498;;;0;;1;;;1;1;1;3;8;7;99;0;7.09.2021;17.09.2021;10
;220;;;0;;0;800;;;;;1;;;2;2;1;3;9;7;99;0;1.09.2021;11.09.2021;10
;317;;;0;;0;510;;;0;;3;;;15;15;38;3;1;78;99;0;24.08.2021;2.09.2021;9
;317;;;0;;0;50;;;;;1;1;;38;38;1;3;8;7;99;0;2.09.2021;20.09.2021;18
;28;;;0;;0;218;;;0;;1;;;80;80;1;3;5;7;99;0;24.08.2021;1.09.2021;8
;28;;;0;;0;150;;;;;1;;;277;277;1;3;1;7;99;0;24.08.2021;3.09.2021;10
;28;;;0;;0;150;;;;;1;;;277;277;1;3;3;7;99;0;24.08.2021;3.09.2021;10
;28;;;0;;0;150;;;;;1;;;277;277;1;3;3;7;99;0;24.08.2021;3.09.2021;10
;28;;;0;;0;150;;;;;1;;;277;277;1;3;4;7;99;0;24.08.2021;3.09.2021;10
;3.039;;;0;;0;8650;;;;;1;2;;84;84;17;3;1;13;99;0;2.09.2021;8.09.2021;6
;213;;;0;;0;19;;;0;;3;19;;203;203;;;;;99;0;10.08.2021;3.09.2021;24
;28;;;0;;0;150;;;;;1;;;277;277;1;3;1;7;99;0;24.08.2021;3.09.2021;10
;317;;;0;;0;70;;;0;;1;1;235;24;24;;;;;99;0;24.08.2021;1.09.2021;8
;28;;;0;;0;300;;;0;;3;19;;137;137;;;;;99;0;24.08.2021;10.09.2021;17
;317;;;0;;0;3500;;;;;0;2;;84;84;17;3;1;13;99;0;29.03.2022;27.04.2022;29
;317;;;0;;0;2931;;;0;;3;;;13;13;38;3;1;78;99;0;7.09.2021;20.09.2021;13
;317;;;0;;0;12;;;0;;3;19;;203;203;;;;;99;0;7.09.2021;14.09.2021;7
63;20;114;16;1;;47;0;;;;ENZİM, SİLİKON, YAĞ SÖKÜMÜ;1;;245;504;504;44;2;6;126;99;0;24.03.2022;28.03.2022;4
;317;;;0;;0;30;;;0;;3;19;;203;203;;;;;99;0;1.09.2021;11.09.2021;10
;28;;;0;;0;300;;;;;3;19;;137;137;;;;;99;0;24.08.2021;10.09.2021;17
;28;;;0;;0;300;;;;;3;19;;137;137;;;;;99;0;24.08.2021;10.09.2021;17
;28;;;0;;0;300;;;;;3;19;;137;137;;;;;99;0;24.08.2021;9.09.2021;16
;182;;;0;;0;13700;;;;;0;;;53;53;17;3;1;13;99;1;28.03.2022;19.04.2022;22
;317;;;0;;0;30;;;0;;1;19;;203;203;;;;;99;0;1.09.2021;11.09.2021;10
;2.174;;;0;;0;114;;;0;;3;19;;203;203;;;;;99;1;6.09.2021;16.09.2021;10
;317;;;0;;0;12;;;;;3;19;;203;203;;;;;99;0;7.09.2021;14.09.2021;7
;2.174;;;0;;0;114;;;;;3;19;;203;203;;;;;99;0;6.09.2021;14.09.2021;8
;317;;;0;;0;12;;;;;3;19;;203;203;;;;;99;0;7.09.2021;14.09.2021;7
;317;;;0;;0;4100;;;;;3;;;13;13;38;3;1;78;99;0;12.10.2021;16.10.2021;4
;2.174;;;0;;0;111;;;;;3;19;;203;203;;;;;99;1;6.09.2021;22.09.2021;16
;317;;;0;;0;2;;;;;1;19;;159;159;17;3;1;13;99;0;28.07.2021;10.09.2021;44
;317;;;0;;0;1635;;;;;1;;;277;277;1;3;9;7;99;0;9.11.2021;15.11.2021;6
;1.747;;;0;;0;90;;;;;3;;;105;106;38;3;1;78;99;0;25.08.2021;27.08.2021;2
;3.039;;;0;;0;5;;;0;;1;1;;24;24;;;;;99;0;25.08.2021;31.08.2021;6
;317;;;0;;0;254;;;0;;1;;220;32;32;14;3;8;41;99;1;15.09.2021;23.09.2021;8
;317;;;0;;0;10;;;;;1;2;;84;84;17;3;1;13;99;0;16.09.2021;26.09.2021;10
63;22;36;;0;;4;0;;;0;ENZİM;1;;145;500;500;44;2;8;126;99;0;14.09.2021;15.09.2021;1
;317;;;0;;0;100;;;0;;3;;210;13;13;38;3;1;78;99;0;25.08.2021;22.09.2021;28
;317;;;0;;0;100;;;;;3;;210;13;13;38;3;1;78;99;1;25.08.2021;12.09.2021;18
;317;;;0;;0;6000;;;0;;1;;220;2;2;1;3;8;7;99;1;6.09.2021;17.09.2021;11
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;4.08.2021;1.09.2021;28
;1.830;;;0;;0;1364;;;;;3;;;68;67;38;3;1;78;99;0;16.08.2021;2.09.2021;17
;175;;;0;;0;2200;;;0;;3;;245;12;12;38;3;1;78;99;0;6.09.2021;9.09.2021;3
;317;;;0;;0;2814;;;0;;0;;;58;58;17;3;1;13;99;0;24.03.2022;1.04.2022;8
;317;;;0;;0;60;;;0;;3;;;132;132;;;;;99;0;1.09.2021;3.09.2021;2
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;4.08.2021;1.09.2021;28
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;4.08.2021;1.09.2021;28
;317;;;0;;0;5593;;;0;;1;1;275;40;40;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;1134;;;;;1;1;275;40;40;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;2750;;;;;1;;;32;32;14;3;8;41;99;1;6.09.2021;16.09.2021;10
63;22;36;;0;;725;0;;;;ENZİM, HİDROFİL SİLİKON;1;;150;500;500;44;2;9;126;99;0;24.03.2022;27.03.2022;3
;317;;;0;;0;83;;;;;1;1;275;40;40;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;13;;;0;;3;19;;203;203;;;;;99;0;25.08.2021;6.09.2021;12
;317;;;0;;0;11;;;;;3;19;;203;203;;;;;99;0;25.08.2021;2.09.2021;8
63;20;36;;0;;50;0;;;;ENZİM, HİDROFİL SİLİKON;1;;180;504;504;44;2;9;126;99;0;24.03.2022;28.03.2022;4
;317;;;0;;0;11;;;;;3;19;;203;203;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;20;;;0;;1;1;115;24;24;;;;;99;0;25.08.2021;1.09.2021;7
;317;;;0;;0;19;;;;;1;1;115;24;24;;;;;99;0;25.08.2021;1.09.2021;7
;317;;;0;;0;999;;;;;1;1;;173;173;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;1035;;;;;1;;;3;3;1;3;8;7;99;1;7.08.2021;10.09.2021;34
;317;;;0;;0;1035;;;;;1;;;3;3;1;3;6;7;99;1;7.08.2021;10.09.2021;34
;317;;;0;;0;150;;;0;;1;;280;1;1;1;3;9;7;99;0;7.09.2021;16.09.2021;9
;317;;;0;;0;1035;;;;;1;;;3;3;1;3;1;7;99;1;7.08.2021;22.09.2021;46
;317;;;0;;0;1186;;;0;SİLİKON;1;;255;1;1;1;3;9;7;99;0;6.09.2021;14.09.2021;8
;317;;;0;;0;1132;;;;SİLİKON;1;;255;1;1;1;3;9;7;99;0;6.09.2021;17.09.2021;11
;317;;;0;;0;3195;;;0;;3;;;151;151;38;3;1;78;99;0;7.09.2021;13.09.2021;6
;317;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;21.08.2021;31.08.2021;10
;317;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;21.08.2021;31.08.2021;10
;317;;;0;;0;1;;;;;3;19;;203;203;;;;;99;0;21.08.2021;31.08.2021;10
;317;;;0;;0;151;;;;;3;;;11;11;38;3;1;78;99;0;2.09.2021;8.09.2021;6
;317;;;0;;0;110;;;0;;1;;293;32;32;14;3;6;41;99;0;25.08.2021;9.09.2021;15
63;21;72;;0;;470;0;;;0;SİLİKON;3;;280;513;513;49;2;1;126;99;0;28.03.2022;2.04.2022;5
;317;;;0;;0;110;;;;;1;;293;32;32;14;3;8;41;99;0;25.08.2021;13.09.2021;19
;317;;;0;;0;100;;;;;3;;293;13;13;38;3;1;78;99;0;25.08.2021;2.09.2021;8
;317;;;0;;0;8;;;;;1;19;145;159;159;17;3;1;13;99;0;28.04.2021;2.09.2021;127
;317;;;0;;0;7;;;0;;3;19;;136;136;;;;;99;0;12.03.2022;29.03.2022;17
;317;;;0;;0;7;;;;;3;19;;136;136;;;;;99;0;12.03.2022;29.03.2022;17
;317;;;0;;0;1251;;;0;;1;;130;32;32;14;3;9;41;99;0;7.09.2021;22.09.2021;15
;317;;;0;;0;400;;;0;;1;;;278;278;1;3;9;7;99;1;25.08.2021;16.09.2021;22
;317;;;0;;0;2957;;;0;;3;;;11;11;38;3;1;78;99;0;25.08.2021;9.09.2021;15
;148;;;0;;0;150;;;0;;1;;;3;3;;;;;99;0;15.09.2021;22.09.2021;7
;317;;;0;;0;150;;;0;;3;;240;12;12;38;3;1;78;99;0;26.09.2021;2.10.2021;6
;317;;;0;;0;5;;;0;;3;19;;203;203;;;;;99;0;18.03.2022;3.04.2022;16
63;22;67;2;1;;896;0;;;0;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;9;126;99;0;25.08.2021;15.09.2021;21
;317;;;0;;0;5;;;0;;3;19;;0;0;;;;;99;0;10.03.2022;3.04.2022;24
63;22;36;;0;;22;0;;;0;AZ ENZİM, KENAR KESME KOLA, SİLİKON;1;;150;500;500;44;2;6;126;99;0;25.03.2022;4.04.2022;10
213;11;184;;0;106;17;0;;;;;1;;240;511;511;47;2;3;126;99;0;6.04.2022;25.04.2022;19
63;22;67;2;1;;1301;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;9;126;99;0;25.08.2021;14.09.2021;20
63;12;77;13;1;36;769;0;;;;SİLİKON;1;;230;517;517;44;2;7;126;99;1;29.03.2022;18.04.2022;20
63;22;67;2;1;;788;0;;;;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;6;;190;502;502;44;2;8;126;99;0;25.08.2021;14.09.2021;20
;317;;;0;;0;10;;;;;1;1;;38;38;1;3;1;7;2;0;14.08.2021;26.08.2021;12
;317;;;0;;0;10;;;;;1;10;;38;38;1;3;8;7;99;0;14.08.2021;26.08.2021;12
;317;;;0;;0;6550;;;;;1;;;1;1;1;3;9;7;99;0;25.08.2021;7.09.2021;13
;1.777;;;0;;0;132;;;0;;3;;;11;11;38;3;1;78;99;0;25.08.2021;1.09.2021;7
;317;;;0;;0;12;;;0;;3;19;;136;136;;;;;99;0;16.07.2021;1.09.2021;47
;317;;;0;;0;1200;;;0;;1;;260;32;32;14;3;5;41;99;0;25.08.2021;3.09.2021;9
;3.039;;;0;;0;10;;;0;;3;19;;203;203;;;;;99;0;25.08.2021;3.09.2021;9
;317;;;0;;0;150;;;;;2;;240;269;269;43;3;1;121;99;0;26.09.2021;30.09.2021;4
;216;;;0;;0;15;;;;;3;2;;183;183;;;;;99;0;13.09.2021;30.09.2021;17
39;6;36;;0;;600;0;;;;ENZİM, SİLİKON, ŞARDON;1;;230;505;505;44;2;4;126;99;0;10.09.2021;24.09.2021;14
63;20;36;20;1;;26;0;;;;AZ ENZİM, SİLİKON;1;;275;504;504;44;2;6;126;99;0;25.03.2022;4.04.2022;10
;1.830;;;0;;0;340;;;;;3;2;;183;183;;;;;99;0;21.08.2021;1.09.2021;11
;317;;;0;;0;12850;;;0;;3;2;220;183;183;;;;;99;0;2.09.2021;24.09.2021;22
;216;;;0;;0;15;;;;;3;2;;183;183;;;;;99;0;13.09.2021;26.09.2021;13
81;23;74;;0;;825;0;;;;ENZİM, SİLİKON;1;;260;504;504;47;2;1;126;99;0;23.09.2021;1.10.2021;8
39;6;36;;0;;600;0;;;;ENZİM, SİLİKON, ŞARDON;1;;230;505;505;44;2;4;126;99;0;10.09.2021;27.09.2021;17
145;23;149;;0;;20;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;1;;450;504;504;44;2;9;126;99;0;25.03.2022;1.04.2022;7
