KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
;317;;;0;;0;19;;;;;3;1;;24;24;;;;;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;180;;;0;;3;;355;13;13;38;3;1;78;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;566;;;;;3;;355;13;13;38;3;1;78;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;200;;;0;;1;19;;137;137;;;;;99;1;15.02.2022;7.03.2022;20
;317;;;0;;0;1643;;;;;1;;200;80;80;1;3;5;7;99;0;16.02.2022;4.03.2022;16
;317;;;0;;0;8;;;0;;3;19;;209;209;;;;;99;1;23.03.2022;7.04.2022;15
;317;;;0;;0;20;;;;;3;2;;48;47;;;;;99;0;25.02.2022;15.04.2022;49
;317;;;0;;0;10;;;;;3;1;;24;24;;;;;99;0;16.02.2022;24.02.2022;8
;1.830;;;0;;0;1190;;;;;3;;;68;67;38;3;1;78;99;0;15.02.2022;16.02.2022;1
;317;;;0;;0;564;;;0;;0;;;58;58;17;3;1;13;99;0;16.04.2022;28.04.2022;12
;283;;;0;;0;65;;;;;3;19;;203;203;;;;;99;0;15.02.2022;24.02.2022;9
;28;;;0;;0;10;;;0;;3;19;;203;203;;;;;99;1;27.08.2021;21.02.2022;178
;317;;;0;;0;8;;;;;3;19;;209;209;;;;;99;1;23.03.2022;7.04.2022;15
33;3.094;16;;0;;479;0;;;0;;1;;220;500;500;46;2;5;126;99;0;31.03.2022;5.04.2022;5
;28;;;0;;0;10;;;;;3;19;;203;203;;;;;99;1;27.08.2021;21.02.2022;178
;317;;;0;;0;2500;;;;;1;;;32;32;14;3;8;41;99;1;10.02.2022;24.02.2022;14
;317;;;0;;0;6100;;;0;;3;;;13;13;38;3;1;78;99;1;23.02.2022;3.03.2022;8
;317;;;0;;0;1350;;;;;3;19;;136;136;;;;;99;1;2.09.2021;19.02.2022;170
;39;;;0;;0;63;;;;;1;;;80;80;1;3;9;7;99;0;31.01.2022;7.03.2022;35
;3.042;;;0;;0;10;;;0;;1;4;;41;41;;;;;99;0;15.02.2022;1.03.2022;14
;1.777;;;0;;0;59;;;0;;3;19;;203;203;;;;;99;0;15.02.2022;18.02.2022;3
178;3.085;138;;0;65;314;0;;;0;IPEKSI APRE;1;;310;500;500;47;2;2;126;99;0;15.02.2022;18.02.2022;3
178;3.085;138;;0;65;261;0;;;;IPEKSI APRE;0;;310;500;500;17;2;1;126;99;0;15.02.2022;19.02.2022;4
;317;;;0;;0;3325;;;;;3;;;9;277;38;3;1;78;99;0;12.02.2021;20.02.2021;8
;317;;;0;;0;192;;;0;;3;;;13;13;38;3;1;78;99;0;3.03.2021;11.03.2021;8
;317;;;0;;0;5600;;;0;;3;;;126;126;38;3;1;78;99;0;15.02.2022;19.02.2022;4
;317;;;0;;0;6600;;;0;;3;;;29;29;38;3;1;78;99;1;15.02.2022;4.03.2022;17
;317;;;0;;0;10;;;;;3;2;;183;183;;;;;99;1;19.01.2022;17.02.2022;29
;317;;;0;;0;1100;;;;;0;;;58;58;17;3;1;13;99;0;9.02.2022;15.02.2022;6
;317;;;0;;0;170;;;0;;1;;;1;1;1;3;9;7;99;0;15.02.2022;26.02.2022;11
;317;;;0;;0;80;;;;;1;;;1;1;1;3;9;7;99;0;15.02.2022;24.02.2022;9
;317;;;0;;0;350;;;;;3;19;;203;203;;;;;99;0;15.02.2022;18.02.2022;3
;317;;;0;;0;500;;;0;;1;;293;32;32;14;3;5;41;99;1;15.02.2022;26.02.2022;11
;317;;;0;;0;100;;;0;;3;19;;160;160;;;;;99;0;31.03.2022;13.04.2022;13
;317;;;0;;0;8;;;;;3;19;;209;209;;;;;99;1;23.03.2022;7.04.2022;15
;182;;;0;;0;1;;;0;;0;19;;203;203;17;3;1;13;99;0;5.11.2021;13.04.2022;159
;317;;;0;;0;200;;;;;1;;;3;3;1;3;4;7;99;0;31.03.2022;10.04.2022;10
;317;;;0;;0;20;;;0;;3;2;;191;191;;;;;99;0;31.03.2022;8.04.2022;8
;317;;;0;;0;3200;;;;;6;;225;252;252;3;3;9;12;99;0;30.03.2022;16.04.2022;17
;287;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;31.03.2022;8.04.2022;8
58;22;27;16;1;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;2;200;2.083;2.083;49;2;1;126;99;0;25.03.2022;5.04.2022;11
;317;;;0;;0;50;;;0;;3;;215;15;15;38;3;1;78;99;0;31.03.2022;9.04.2022;9
;3.039;;;0;;0;75;;;;;1;19;;159;159;17;3;1;13;99;1;18.03.2022;19.04.2022;32
;3.039;;;0;;0;4;;;;;1;19;;159;159;17;3;1;13;99;0;31.03.2022;11.04.2022;11
58;22;27;16;1;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;2;200;2.083;2.083;49;2;1;126;99;0;25.03.2022;5.04.2022;11
;3.039;;;0;;0;75;;;;;1;19;;159;159;17;3;1;13;99;1;18.03.2022;19.04.2022;32
;39;;;0;;0;100;;;;;1;;;68;67;38;3;1;78;99;0;26.02.2022;3.03.2022;5
;317;;;0;;0;964;;;;;3;;;13;13;38;3;1;78;99;0;15.02.2022;24.02.2022;9
;317;;;0;;0;1470;;;0;;3;19;;137;137;;;;;99;0;15.03.2021;7.04.2021;23
;317;;;0;;0;2000;;;;;0;;;58;58;17;3;1;13;99;0;17.02.2022;26.02.2022;9
;317;;;0;;0;10;;;0;;1;;;16;16;;;;;99;0;8.01.2021;11.01.2021;3
63;22;68;;0;;380;0;;;0;ENZİM, HİDROFİL SİLİKON;1;;150;500;500;44;2;2;126;99;0;17.02.2022;23.02.2022;6
74;23;36;;0;;180;0;;;;ENZİM, HİDROFİL SİLİKON;1;;300;528;528;47;2;3;126;99;0;16.04.2022;19.04.2022;3
;317;;;0;;0;30;;;0;;3;2;;48;47;;;;;99;0;20.11.2021;17.02.2022;89
;317;;;0;;0;18500;;;0;;3;2;70;48;47;;;;;99;1;18.02.2022;2.03.2022;12
;317;;;0;;0;4200;;;;;3;2;70;48;47;;;;;99;0;18.02.2022;8.03.2022;18
;2.169;;;0;;0;860;;;;;1;;;1;1;1;3;3;7;99;0;8.09.2021;16.09.2021;8
;317;;;0;;0;21500;;;;;3;2;70;48;47;;;;;99;1;18.02.2022;8.03.2022;18
;317;;;0;;0;496;;;0;;3;;240;151;151;38;3;1;78;99;0;15.02.2022;24.02.2022;9
63;22;36;;0;;4926;0;;;0;KENAR KESME KOLA, SİLİKON;0;2;145;2.083;2.083;17;2;1;126;99;0;17.02.2022;3.03.2022;14
;317;;;0;;0;650;;;0;;6;;;1;1;1;3;9;7;99;0;8.03.2022;18.03.2022;10
;317;;;0;;0;3028;;;;;1;;;1;1;1;3;4;7;99;1;15.02.2022;26.02.2022;11
;317;;;0;;0;600;;;;;1;19;240;208;208;;;;;99;0;16.02.2022;5.03.2022;17
177;12;134;16;1;84;20;0;;;0;;1;;305;497;497;46;2;2;126;99;0;15.02.2022;16.02.2022;1
;317;;;0;;0;2209;;;0;;3;;;15;15;38;3;1;78;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;5;;;0;;3;19;;136;136;;;;;99;0;6.07.2021;22.02.2022;231
;3.039;;6;1;;0;4923;;;0;;1;;;2;2;1;3;8;7;99;1;26.03.2022;15.04.2022;20
;317;;;0;;0;31819;;;0;;3;;;126;126;38;3;1;78;99;0;24.02.2022;16.03.2022;20
;317;;;0;;0;4169;;;;;1;;275;2;2;1;3;8;7;99;0;16.02.2022;24.02.2022;8
;3.039;;;0;;0;10;;;0;;1;19;K.ÇEKMESİ;203;203;;;;;99;0;8.02.2021;16.02.2021;8
;40;;;0;;0;1000;;;0;;1;;270;2;2;1;3;6;7;99;0;15.02.2022;26.02.2022;11
;317;;;0;;0;5;;;0;;3;19;;136;136;;;;;99;0;6.07.2021;22.02.2022;231
;317;;;0;;0;20;;;;;3;2;70;48;47;;;;;99;0;4.03.2022;7.03.2022;3
54;22;36;;0;;1700;0;;;0;SİLİKON;3;2;170;2.083;2.083;49;2;1;126;99;0;18.04.2022;5.05.2022;17
;40;;;0;;0;1000;;;;;1;;270;2;2;1;3;6;7;99;0;15.02.2022;26.02.2022;11
63;12;77;16;1;;200;0;;;0;SİLİKON;1;;250;502;502;44;2;6;126;99;0;23.02.2022;7.03.2022;12
;317;;;0;;0;850;;;;;1;;;500;500;44;2;3;126;99;0;24.02.2022;28.02.2022;4
;317;;;0;;0;10;;;;;3;1;;24;24;;;;;99;0;16.02.2022;24.02.2022;8
;317;;;0;;0;15;;;0;;1;1;275;24;24;;;;;99;0;23.02.2022;2.03.2022;7
88;22;68;;0;;1625;0;;;0;ENZİM, IPEKSI APRE, KENAR KESME KOLA;0;;140;500;500;17;2;1;126;99;0;16.02.2022;21.02.2022;5
;145;;;0;;0;320;;;0;;3;;;15;15;38;3;1;78;99;0;15.02.2022;28.02.2022;13
;1.324;;;0;;0;1000;;;;;1;;;58;58;17;3;1;13;99;0;20.04.2022;27.04.2022;7
;1.324;;;0;;0;1000;;;;;1;;;3;3;1;3;1;7;99;0;20.04.2022;30.04.2022;10
63;22;151;18;1;;1176;0;;;0;KENAR KESME KOLA, SİLİKON;1;;190;516;516;50;2;1;139;99;0;15.02.2022;17.02.2022;2
;6;65;14;1;;510;0;;;;ENZİM, IPEKSI APRE;1;;275;502;502;44;2;9;126;3;0;10.09.2021;17.09.2021;7
;317;;;0;;0;14;;;;;3;19;;136;136;;;;;99;0;16.07.2021;15.09.2021;61
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;1;28.07.2021;23.09.2021;57
;2.567;;;0;;0;10;;;;;3;19;;136;136;;;;;99;0;8.09.2021;14.09.2021;6
;212;;;0;;0;790;;;0;;3;2;;48;47;;;;;99;0;10.09.2021;21.09.2021;11
;317;;;0;;0;2250;;;0;;3;;;15;15;38;3;1;78;99;0;15.02.2022;23.02.2022;8
;317;;;0;;0;1;;;;;1;19;;203;203;;;;;99;0;8.03.2021;13.03.2021;5
;317;;;0;;0;1;;;;;1;19;;203;203;;;;;99;0;8.03.2021;13.03.2021;5
;317;;;0;;0;10;;;;;1;1;;24;24;;;;;99;0;9.03.2021;12.03.2021;3
;317;;;0;;0;1;;;;;1;19;;203;203;;;;;99;0;8.03.2021;13.03.2021;5
;317;;;0;;0;6;;;;;1;19;;203;203;;;;;99;0;8.03.2021;20.09.2021;196
;317;;;0;;0;20;;;;;3;2;70;48;47;;;;;99;0;4.03.2022;7.03.2022;3
;317;;;0;;0;200;;;0;;3;;260;15;15;38;3;1;78;99;0;16.02.2022;22.02.2022;6
;317;;;0;;0;6;;;;;3;19;;209;209;;;;;99;0;6.07.2021;22.02.2022;231
;1.747;;;0;;0;31;;;0;;3;1;;24;24;;;;;99;0;17.02.2022;22.02.2022;5
;317;;;0;;0;100;;;;;6;;;1;32;1;3;9;7;99;0;22.04.2021;23.05.2021;31
